"Data","Municipio","Confirmados","Ultimo_Confirmado_Por_100k_habitantes","Novos_Confirmados_Dia","Mortos","Novos_Mortos_Dia","Ultimo_Rate_Mortos","is_repeated","Regiao","Latitude","Longitude","Area","Populacao","Densidade_Demografica","Tx_Geomet_Cresc_Anual_Popul_2010_2020","Grau_Urbanizacao","Ind_Envelhecimento","Popul_Menos_15Anos","Popul_60Anos_Mais","Razao_Sexos","Ind_Isolamento(%)","Total_Leitos_UTI_Adulto","Total_Leitos_UTI_Pediatrica","Total_SUS","Total_SUS_Pediatrica"
"10/03/2020","São Paulo",18,"0.14691",3,0,0,0.0,"False","Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"10/04/2020","Arujá",10,"1.113.288",1,1,0,0.1,"False","Leste",-23.397,-46.3204,96.17,89744,933.18,1.84,96.31,55.76,21.53,12.01,97.25,50,0,0,0,0
"10/04/2020","Barueri",44,"1.604.773",2,2,0,0.0455,"False","Oeste",-23.5114,-46.8729,65.7,26439,4024.2,0.95,100.0,47.09,23.62,11.12,94.74,53,0,0,0,0
"10/04/2020","Caieiras",32,"3.153.641",1,4,0,0.125,"False","Norte",-23.3612,-46.7402,97.64,100612,1030.44,1.54,98.26,60.86,19.69,11.99,96.01,65,0,0,0,0
"10/04/2020","Cajamar",5,"651.033",2,1,1,0.2,"False","Norte",-23.355,-46.8789,131.39,77627,590.81,1.95,98.82,44.85,22.09,9.91,99.14,67,0,0,0,0
"10/04/2020","Carapicuíba",29,"723.324",4,2,0,0.069,"False","Oeste",-23.524,-46.8411,34.55,394598,11421.07,0.66,100.0,58.79,21.98,12.92,94.44,62,3,0,0,0
"10/04/2020","Cotia",53,"212.672",7,3,0,0.0566,"False","Sudoeste",-23.6027,-46.9195,323.99,247424,763.68,2.12,100.0,52.81,21.7,11.46,95.79,60,0,0,0,0
"10/04/2020","Diadema",59,"139.189",4,1,0,0.0169,"False","Sudeste",-23.6817,-46.6203,30.73,404477,13162.28,0.47,100.0,56.47,20.92,11.81,93.69,63,20,0,0,0
"10/04/2020","Embu das Artes",33,"1.205.585",6,2,1,0.0606,"False","Sudoeste",-23.6515,-46.8522,70.4,27079,3846.45,1.22,100.0,47.99,22.81,10.95,94.56,61,0,0,0,0
"10/04/2020","Embu-Guaçu",4,"576.493",2,0,0,0.0,"False","Sudoeste",-23.8295,-46.8149,155.64,68053,437.25,0.82,97.33,65.4,20.39,13.33,97.85,0,0,0,0,0
